year,month,Prec,Tmin,Tmax,PDSI
2000,5,48.2,4.84,11.16,2.15
2000,6,77.5,7.96,13.49,2.19
2000,7,164,14.14,19.44,3.59
2000,8,71,15.06,20.5,2.51
2000,9,125.7,11.6,17.39,3.14
2000,10,101.8,4.26,11.09,3.3
2000,11,52,-4.58,1.75,2.76
2000,12,58.2,-11.15,-4.17,2.59
2001,1,48.2,-14.3,-7.88,2.36
2001,2,43.7,-16.44,-9.05,2.34
2001,3,69.5,-9.04,-2.45,3
2001,4,54.1,-1.38,6.12,2.26
2001,5,47.7,4.04,10.46,1.65
2001,6,99.1,7.66,13.69,2.28
2001,7,65,12.58,17.38,1.96
2001,8,128.7,12.62,18.31,1.91
2001,9,67.5,8.83,15.52,1.17
2001,10,56.1,4.23,10.89,0.58
2001,11,41.3,-2.51,4.02,-1.58
2001,12,50.1,-10.61,-4.7,-1.55
2002,1,64.1,-10.66,-4.85,-0.87
2002,2,31.2,-9.57,-2.48,-0.95
2002,3,41.3,-7.27,-0.12,-0.84
2002,4,73.3,0.19,7.42,-0.84
2002,5,32.1,5.14,12.96,-2.08
2002,6,55.5,7.13,12.56,-2.31
2002,7,176.5,11.61,16.01,1.72
2002,8,208.2,10.95,16.44,3.73
2002,9,83.2,9.66,17.25,2.88
2002,10,157.5,4.73,11.39,4.4
2002,11,101.3,-3.11,2.62,5.05
2002,12,48.1,-11.35,-5.04,4.34
2003,1,72.1,-13.16,-6.45,4.65
2003,2,19.9,-14.2,-6.92,3.65
2003,3,22.5,-8.27,-1.38,2.69
2003,4,31.9,-0.71,6.12,1.49
2003,5,19.4,3.94,12.16,-3.37
2003,6,25.7,8.26,14.56,-4.49
2003,7,41.7,9.78,14.78,-5.15
2003,8,143.8,12.62,17.91,-4.53
2003,9,110,9.86,16.65,-3.75
2003,10,112,4.8,11.76,-2.59
2003,11,80.2,-1.95,5.18,-2.14
2003,12,28,-8.01,-1.8,-2.71
2004,1,77.7,-11.43,-5.82,-1.5
2004,2,67.5,-11.14,-4.45,2.03
2004,3,52.7,-7.84,-0.85,2.2
2004,4,58.3,-1.74,4.69,1.95
2004,5,106.9,5.01,12.43,2.72
2004,6,52.7,8.76,15.78,2.03
2004,7,80.4,12.71,17.91,1.61
2004,8,56.4,13.75,19.87,-1.56
2004,9,109.2,10.93,18.15,-1.88
2004,10,54.8,4.49,12.16,-2.58
2004,11,60.6,-0.28,6.25,-3.19
2004,12,82.9,-9.01,-2.24,-2.02
2005,1,51.1,-12.3,-6.18,-1.69
2005,2,45.3,-12.9,-6.48,-1.24
2005,3,44.7,-8.24,-1.51,-0.99
2005,4,66.6,-2.04,3.79,1.61
2005,5,67.2,2.48,7.93,1.71
2005,6,23.3,8.53,15.16,0.6
2005,7,46.7,12.25,17.11,-1.72
2005,8,80.6,15.05,21.07,-2.15
2005,9,102.5,10.79,18.22,-2.53
2005,10,77.4,5.13,12.59,-2.99
2005,11,76.5,-0.88,5.18,-2.62
2005,12,89.1,-7.81,-2.07,-1.33
2006,1,56.7,-12.7,-6.98,-0.9
2006,2,49.3,-12.77,-5.42,1.53
2006,3,87.5,-7.34,-1.35,2.84
2006,4,67.1,-2.41,2.22,3.51
2006,5,76.4,3.84,11.53,3.25
2006,6,65,7.43,12.09,3.21
2006,7,42.8,12.85,18.07,2.15
2006,8,112.8,16.16,21.41,1.7
2006,9,73.7,10.86,17.99,0.96
2006,10,86.3,3.83,11.63,1.07
2006,11,84.6,-1.21,5.12,1.27
2006,12,42.1,-8.69,-3.04,0.77
2007,1,25.6,-10.53,-4.75,-1.46
2007,2,47.2,-11.6,-4.42,-0.97
2007,3,51.5,-7.34,-1.21,0.33
2007,4,37.3,-2.21,3.62,-0.13
2007,5,71.9,3.24,9.23,0.81
2007,6,19.6,8.7,14.92,-0.93
2007,7,50.5,11.68,17.54,-1.89
2007,8,114.5,14.29,20.57,-1.96
2007,9,123.5,10.46,17.19,-1.49
2007,10,75.7,3.69,11.93,-1.47
2007,11,50,-3.31,3.62,-1.71
2007,12,36.3,-8.49,-2.3,-2.07
2008,1,35,-14.13,-7.68,-2.22
2008,2,40.6,-12.77,-5.42,-1.86
2008,3,25,-5.13,1.02,-2.17
2008,4,22,-0.64,5.86,-3.05
2008,5,90.6,3.34,10.13,-2.29
2008,6,33.3,7.4,13.29,-2.65
2008,7,56.2,12.91,18.34,-3
2008,8,129.8,13.09,18.61,-2.79
2008,9,77.6,10.56,18.25,-3.03
2008,10,88.3,4.89,12.29,-2.55
2008,11,54.4,-2.51,4.02,-2.62
2008,12,63,-6.75,0.2,-2.1
2009,1,64.9,-9.3,-3.65,-1.35
2009,2,66.6,-12.64,-5.58,1.63
2009,3,71.9,-6.44,-0.21,2.44
2009,4,37.1,-1.31,5.32,1.41
2009,5,50.6,4.88,12.76,-1.45
2009,6,109.2,8.07,12.59,1.06
2009,7,174.4,10.91,15.61,3.23
2009,8,93.9,13.26,18.31,2.66
2009,9,65.5,9.96,17.12,1.73
2009,10,76.7,4.83,12.09,1.48
2009,11,57.7,-2.85,3.15,1.21
2009,12,63,-8.08,-2.27,1.33
2010,1,71.4,-10.56,-4.58,1.93
2010,2,48.4,-12.7,-5.92,2.11
2010,3,50.9,-8.97,-2.21,2.21
2010,4,66.9,-2.01,3.62,2.62
2010,5,67.1,3.24,8.99,2.56
2010,6,72,9.93,16.59,2.44
2010,7,186.1,13.81,17.97,4.54
2010,8,113.3,16.05,22.17,3.93
